brand,model,filename,source_url
SMEG,WM24UWH,SMEG_WM24UWH_User_Manual.pdf,https://doc.smeg.it/qr/91477B708/EN
Gaggenau,WM260162CN,Gaggenau_WM260162CN_User_Manual.pdf,https://media3.gaggenau.com/Documents/9001079760_D.pdf
Gaggenau,WM260164,Gaggenau_WM260164_User_Manual.pdf,https://media3.gaggenau.com/Documents/9001547188_A.pdf
Gaggenau,WM262700-26,Gaggenau_WM262700-26_User_Manual.pdf,https://media3.gaggenau.com/Documents/9001604894_A.pdf
Zanussi,ZWG1120M,Zanussi_ZWG1120M_User_Manual.pdf,https://www.electrolux-ui.com/DocumentDownLoad.aspx?DocURL=2009%5C914%5C57981500DE.pdf
